episode_id,dyad,host_gender,guest_gender,host_word_count,guest_word_count,total_words,host_speaking_share,guest_speaking_share,dominance_ratio,host_hedge_count,guest_hedge_count,host_hedge_per_1k,guest_hedge_per_1k,host_booster_count,guest_booster_count,host_booster_per_1k,guest_booster_per_1k,host_polite_count,guest_polite_count,host_polite_per_1k,guest_polite_per_1k,host_directive_count,guest_directive_count,host_directive_per_1k,guest_directive_per_1k
ep_222_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,7961,9605,17566,0.45320505522031196,0.546794944779688,0.8288391462779802,38,43,4.773269689737471,4.476834981780323,5,20,0.6280618012812461,2.082248828735034,4,2,0.5024494410249969,0.2082248828735033,8,5,1.0048988820499938,0.5205622071837585
ep_139_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1681,10130,11811,0.1423249513165693,0.8576750486834307,0.16594274432379072,5,64,2.97441998810232,6.317867719644619,2,10,1.189767995240928,0.9871668311944718,6,14,3.569303985722784,1.3820335636722605,4,13,2.3795359904818563,1.2833168805528137
ep_349_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,2623,10028,12651,0.20733538850683741,0.7926646114931626,0.2615676106900678,27,155,10.293556995806329,15.456721180694055,6,27,2.287457110179184,2.6924611088950936,11,10,4.193671368661837,0.997207818109294,4,30,1.5249714067861229,2.9916234543278817
ep_304_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1144,3595,4739,0.24140113948090314,0.7585988605190969,0.3182197496522949,12,46,10.48951048951049,12.795549374130736,1,5,0.8741258741258742,1.3908205841446453,6,7,5.244755244755245,1.947148817802504,2,3,1.7482517482517483,0.8344923504867872
ep_331_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,753,3545,4298,0.17519776640297813,0.8248022335970219,0.21241184767277857,8,38,10.624169986719789,10.71932299012694,4,4,5.3120849933598935,1.1283497884344147,3,3,3.98406374501992,0.846262341325811,4,3,5.3120849933598935,0.846262341325811
ep_311_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,1030,4664,5694,0.18089216719353707,0.8191078328064629,0.22084048027444253,13,32,12.62135922330097,6.861063464837049,3,0,2.912621359223301,0.0,9,4,8.737864077669903,0.8576329331046312,0,8,0.0,1.7152658662092624
ep_150_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,2062,6100,8162,0.25263415829453567,0.7473658417054644,0.3380327868852459,7,68,3.394762366634336,11.14754098360656,1,23,0.4849660523763336,3.7704918032786887,3,2,1.454898157129001,0.3278688524590163,3,29,1.454898157129001,4.754098360655738
ep_264_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1199,13738,14937,0.08027046930441187,0.9197295306955882,0.08727616829232784,6,89,5.004170141784821,6.478381132624836,0,6,0.0,0.4367447954578541,2,11,1.6680567139282736,0.8006987916727325,2,12,1.6680567139282736,0.8734895909157082
ep_339_whisperx_diarized.gender.host_guest,FEMALE->FEMALE,female,female,4085,5005,9090,0.4493949394939494,0.5506050605060506,0.8161838161838162,29,36,7.099143206854345,7.192807192807193,3,4,0.7343941248470012,0.7992007992007992,17,7,4.16156670746634,1.3986013986013983,8,6,1.9583843329253368,1.1988011988011988
ep_101_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,1153,3503,4656,0.24763745704467355,0.7523625429553265,0.3291464459035113,12,18,10.407632263660018,5.138452754781616,2,4,1.7346053772766694,1.1418783899514702,6,4,5.203816131830009,1.1418783899514702,2,14,1.7346053772766694,3.9965743648301455
ep_186_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,3675,14544,18219,0.2017124979417092,0.7982875020582908,0.25268151815181517,10,41,2.7210884353741496,2.819031903190319,10,22,2.7210884353741496,1.5126512651265125,7,3,1.9047619047619049,0.2062706270627062,1,12,0.2721088435374149,0.8250825082508251
ep_306_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1453,6093,7546,0.1925523456135701,0.8074476543864298,0.23847037584112915,11,62,7.570543702684102,10.175611357295256,2,28,1.3764624913971093,4.5954373871656,5,9,3.441156228492773,1.4771048744460855,2,3,1.3764624913971093,0.4923682914820286
ep_053_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,4831,14762,19593,0.24656765171234624,0.7534323482876537,0.3272591789730389,46,52,9.52183812875181,3.522557918981168,10,5,2.06996481059822,0.3387074922097277,10,20,2.06996481059822,1.3548299688389107,12,14,2.483957772717864,0.9483809781872374
ep_125_whisperx_diarized.gender.host_guest,FEMALE->MALE,female,male,1683,7652,9335,0.18028923406534547,0.8197107659346545,0.2199424986931521,8,59,4.753416518122401,7.710402509147936,0,2,0.0,0.2613695765812859,4,0,2.3767082590612003,0.0,0,4,0.0,0.5227391531625718
ep_281_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,2242,10400,12642,0.1773453567473501,0.8226546432526499,0.21557692307692308,16,156,7.136485280999108,15.0,1,21,0.4460303300624442,2.019230769230769,5,11,2.230151650312221,1.0576923076923077,0,1,0.0,0.0961538461538461
ep_251_whisperx_diarized.gender.host_guest,MALE->MALE,male,male,3751,10615,14366,0.2611026033690659,0.7388973966309341,0.3533678756476684,12,50,3.1991468941615566,4.710315591144607,2,8,0.5331911490269261,0.753650494583137,4,4,1.0663822980538522,0.3768252472915685,5,32,1.3329778725673154,3.014601978332548
ep_014_whisperx_diarized.gender.host_guest,MALE->FEMALE,male,female,4346,9093,13439,0.3233871567824987,0.6766128432175013,0.4779500714835588,42,74,9.66405890473999,8.138128230506982,3,8,0.6902899217671422,0.8797976465412956,13,7,2.991256327657616,0.7698229407236336,5,5,1.150483202945237,0.5498735290883097
